artist_id,name,followers,artist_popularity,genre_1,genre_2,genre_3
7zzoPiAGBQ3E6de0cseL2G,Michele Arcieri,126,2,,,
7zZ5dms7iXPQz2FeYN16N2,The Beverly Hills Teens,174,28,,,
7zXIwx1vFazRevbrv4wXSS,Gucci Vladislav,582,0,,,
7zXfUuIWPs35lCsVg5NsPv,"Erick Sermon, Snoop Dogg & Method Man",206,1,,,
7zwiFdY90oXzLh1Wz22oEq,Meditation Music Zone,158264,54,sleep,,
7zW3TLTpTyqtkSxCeAVqzI,Cance 93,30,0,,,
7zVTT3VzWZfnyryq4lbWN3,Nikki Mcknight,1312,7,,,
7zurW2G38mEK846tXLbQx0,SaintJ,10,0,,,
7ztKba8WXzhvOCH1bcQzj3,Star Baby,11,0,,,
7zTAESTTavYKwjpXzT9MMp,Anthony D,107,9,,,
7zsxk49ELvOhx81AMggVa0,KZC,176,1,,,
7zSMvOD8u95jsqCeq9r764,Blizzy B Pacco,23,8,,,
7zRD1F43KC86LfulOdmDay,Saan Shalir,683,9,,,
7zrcMAXRUHS6h7Pad58kug,YGD Beats,19,1,,,
7zQri8XgrBMn7q3CwgCw6E,St. John Cantius Choir of Saint Cecilia,134,6,,,
7zQJWIW9n14odAehs7XINa,Eputty,144,0,,,
7zpkDJ62XdmBpd5ZYM9l5o,Noel,7,5,,,
7zoWau3lHuure77mrr5jyH,Noa Milan,134,0,,,
7zOcRYg1BYXpwr71XTWNr7,Jeff Foxworthy,58266,37,clean comedy,comedy,
7znlwgZREld1daIq0rTUvP,Cute Music for Kids,1762,27,,,
7znjqHZCaLQapOPSNOkUGT,Ryan Hayden,32,2,,,
7zNHgoGCAs8gL0BZYyGbRa,Sweet Toes,2,0,,,
7zNgBJI5ddd3GanVxVq6bW,Jason Payne,3795,23,rawstyle,xtra raw,
7zmuMr74dNGqjq74uibncO,Kool John,51793,38,cali rap,,
7zmk5lkmCMVvfvwF3H8FWC,Elle Varner,338474,39,hip pop,neo soul,r&b
7zlicwAuT5pKn5ujNcyuuJ,GOMA,73,9,,,
7zLCueWV49iUQ2MwVOx12y,Loodwig,10638,33,lo-fi beats,,
7zla0bcNDIUPym1Jj7ChEm,Lil Tygaa,170,0,brisbane hip hop,,
7zkwepHPyac6tCYl0fL0co,ASTN,299272,57,bedroom soul,,
7zKpsWi7nGfM6AREKbpMoj,Dann Dib,4433,32,melbourne hip hop,,
7zJmsbLE7khZ5I88ls7Opv,Yung Hemi,2,0,,,
7zJ5EmLH08IxjJy9XY1iYf,Howl Broken Surfer,20,0,,,
7zIRO89G0FBAQtGMHO1Wa0,João Bosco & Vinicius,3013029,64,agronejo,arrocha,sertanejo
7ziEYMdP4VPfxFKZ1yF1Ev,HoyaBachu,0,0,,,
7zICaxnDB9ZprDSiFpvbbW,Master P,1038081,51,dirty south rap,gangster rap,new orleans rap
7zi9FGUAhnkqh4haScQNom,Smokey Santana,35,0,,,
7zGwX4OwwtrvIT1xg3ocrr,Ahmir,27086,26,viral pop,,
7zGiu6ad6bc2QgmpzBO9Gr,Sky Hendrix,35,1,,,
7zFBW2JxM4bgTTKxCRcS8Q,Hiphop Tamizha,8236019,67,desi hip hop,tamil hip hop,tamil pop
7zeiybXwQMwCY6mlYbLwE0,Sci-Boy,97,5,,,
7zeHJIIfNStVfxlbT72UwY,Peter Murphy,223223,43,gothic rock,new romantic,new wave
7zE4gDn65eVSN9ujypnxvZ,FRANSICO MIGUEL,48,24,,,
7zdarpBzWsGKBdBe5WX1mK,Rx Yp,2743,8,,,
7zcwtgxeHkX3wMn7kygxFY,Anonyme,398,26,,,
7zclPUm8tC4NlotKvc0wuC,Rabbumeric,1,0,,,
7zcELPpAGrLYhNhEVMEVJb,moondrive71,3,0,,,
7zcdZdyhX1c2E85hRDN8Js,Randall Rock,15,0,,,
7zBvvEkToHUjaOmdVHHJfQ,Salah Alakhfash,3860,14,,,
7zakdAMC3vbUue4IxQh9Xl,Curtis Knight & The Squires,3869,22,,,
7z9qndLvWs5SVKpjSgrPla,Sam Cosmic,141,0,,,
7z7UeKh2Y7m3DLpVs0458h,Trille,8313,35,,,
7z7Pyx5i22iddoyAGmHqY9,Calvin Harris,1866,9,,,
7z7byOJ4AJnMY2NHE66ZpW,DOE,48525,49,,,
7z6lgIejreop5iI8RaiTrF,Anthony Hardin,1729,14,,,
7z638fOA0jZ3byHSOSZrW3,Arianna Hall,2,1,,,
7z5zyuX4dcIIeqVS2pFbCp,Dolly Smith,21,16,,,
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,3106541,71,contemporary country,country,country road
7z3X9SY9Taz1PG0K4UqoZD,Axeville Records,6,0,,,
7z391V0ttctbe4WtvAJ1Do,RAYVEN ARIES,16,5,,,
7z2avKuuiMAT4XZJFv8Rvh,Tom Walker,1125024,65,indie anthem-folk,uk pop,
7z1y0PfVnWsyNGLUsY0EtG,IV4,4578,18,,,
7z0h1AAK03XI83R3az3oj2,Brandi Burkhardt,449,27,,,
7z0FIqH8KzAlC0y2yhdzFA,Abstract- That Rapper,71,0,,,
7yYrS70KL5ggf83Hn3EnQk,Jimmy Here,8648,20,,,
7yXvLI7xLPhQOI2hmO37CO,Havok Jones,38,0,,,
7yxibA0rx3l8gQ9821VcsB,Cinematic,1518,24,,,
7yWr6c71N8h6NNDy8mbIVV,Nicolás Iaciancio,625,4,,,
7yvjKCiYdIQkl2slcsyAac,The Drakes,83,0,,,
7yVDaLblV58q7fthIwHMPD,sirgomez,94,3,,,
7yv4x9prNWnvD8a0zqAgwC,Lil HBK,2284,20,,,
7yv4DJOCmilSbxxsdQgXWk,Pictomusic,1536,14,,,
7yuWQy9L7POALxr627ZM0H,RO GANG,230,0,,,
7yTltkMBvChBkA86Tz8WfW,The Infamous Stringdusters,100981,38,bluegrass,instrumental bluegrass,jam band
7ytLMKRsnQKJHDLjbBwa2M,Jay Hendrix,16,0,,,
7yTjJHihbdJFCMUkwEJaAU,CSmith,66,0,,,
7ySZCEP4HFGckYYPK5rqFI,Melody,315758,62,funk carioca,pop nacional,pop teen brasileiro
7ysJpWwTsZGrlVPeoakTHL,Tokyoszn,88,0,,,
7yS2hRRS7tgwdhs0ZRH9E9,Miguel Gil,250,1,,,
7yrmADp1cRvjOOXwwmU7qo,Dr.C,4,0,,,
7yQhv10TdTvTPz9XAygPiJ,Hood Rock,12,0,,,
7yO4IdJjCEPz7YgZMe25iS,A$AP Mob,2144196,56,hip hop,rap,southern hip hop
7yntSJ6uojO3z6GFUVwhAW,CORPSE,2345478,65,pov: indie,,
7yN5Uu5yyXbvuH6mx4YKsq,St. John Paull,5,0,,,
7yMvZvs1e01HYq1rizNqtW,Vishal Khera,105609,45,mantra,,
7ymtoSD8y85Z8km2hlvHyl,Jacob Kennedy,57,20,,,
7ymTfcDKDIOhvZ7FJx0uBH,$aebaH,288,6,,,
7yMjwoLIGGS15LpEygWO07,Eltio27,51,42,,,
7ylr6XvJ3hrOfvnHrlDCkI,Isaiah Kurtis Pilkington,0,0,,,
7yl6UpmFtgLXxkVcwHnz7O,Luca Rustici,7821,2,,,
7yKK2YS0GfWJQ4HinUgkdi,The Experienced,35,0,,,
7yirZQGRnKMz4vSMEvwA1J,Lofi Flowers Music,317,18,,,
7yHU7oDAmpP9ozvCvyd4lj,Patty Honcho,485,15,,,
7yHNG9RMXgfUXEVEBAxKeu,Lil K the Aries,13,0,,,
7yhFOvRvOImnjal0QFCkZy,Purple Rain For Sleep,1,0,,,
7yFu9j2FCoxCyEjLpcsDdv,Halit Arapoğlu,2020,8,,,
7yevnZHnLPyJI956C26B1w,The Ghost of Johnny Cash,14126,35,,,
7ydWPY7NPVpD8pfWS9S5ki,Kainen,183,5,,,
7ydw38r5AKvDsvxdrd4O0n,Rodney King,9129,17,,,
7ydpneBAwLegNysaViOxHA,Red Hot Org,1717,12,,,
7ydiqNkdc2TQoP0mL5d1JH,Smile And Burn,9497,25,german punk rock,,
7ycmGz2Hh8XW06eGBdxuiB,Red Velvet Supreme,25,0,,,
7yCeICZfEq6pr8oWJgN4tl,Demi Daygo,181,5,,,
7yCeGmVtk3HyPDVE5cI3hV,TreLamond,8,0,,,
7yByJvd5ATI9qrIaJ5eQ7c,Jimmy McGriff and Hank Crawford Quartet,25,0,,,
7ybI3NW2ce0O03h6PkSKDM,4rmdaeast,11,0,igbo rap,,
7ybHihDR3J0Cjygzyabb70,37 Cents,738,8,,,
7yBGhx56L4TY9CIJup6603,Hers,4,11,,,
7yaTduEHXTD6AW0LKUfU4y,La India Meliyara,789,11,,,
7yAPsqNhqqsTGsuOSZJg0i,Marco Beltrami,45532,44,orchestral soundtrack,soundtrack,
7yacLWrDuunGkWnF8q2qLy,Rockstarr Gunna,10,0,,,
7yaBUcdjmqPP2vIv6F5bFD,Jascha Heifetz,62857,36,violin,,
7yA7E9bMAkStIKoQc6Eu4G,J-Con,369,3,,,
7y9m5o4dJ6jmxeUqYo9azF,Rashan Balasooriya,566,18,sinhala edm,sinhala pop,
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,3199085,71,classical,early romantic era,polish classical
7y7ldvuEKjaHEmUuiMQ8Si,Grupo Coleccion,440,6,,,
7y6XJEjPF0yxmBCk8CW5hN,Jayden Taylor,1,1,,,
7y6JGwXoPWx1KNyyOyqSI5,"A Noiva, Igreja do Reino da Arte",209,0,,,
7y62LosfVdoL07cB9BT4i6,Smookie Illson,5097,15,,,
7y5KBBo6GUgOcp7iWQKKd6,speedbump,97,2,,,
7y5czJruTrJCzDVd7OzmMZ,Kynigator,0,0,,,
7y4sBvPmd4VZuA4AtPqiGM,Jae Hendrix,38,1,,,
7y4bEc4vIhTz37fnzKkUkP,Rosiloa Black Rose,239,7,fijian pop,melanesian pop,
7y3zuETAxwKVJEEi1052Rx,Kush Kelz,919,0,,,
7y2KMRKQdcHt3v472lA6DT,John Gallagher & Scott Prouty,7,0,,,
7y2DXdRackYULQq4qsCxpL,Robin and the Backstabbers,27532,33,romanian indie,romanian rock,
7y1Z5RFuhmn0L1in87Hayd,Lucas,538,28,,,
7y1jmiKP6C00Zbh7r9dygN,Maxwell Carvalho,18,0,,,
7y04YG9RJzaFi1F0gjfYxQ,Drum & Bass Republic,233,0,,,
7xzes9NYa26fhWBVf8yFjq,Sklerosis,27,0,,,
7xy7iafN2DZL3Ns8pfgoPr,Kassidy Miles,63,15,,,
7xXauz7g7OKXf0xZnTHwXk,Deep On The Beat,5,0,,,
7xx5uEbcCYMaMtFYlf9fyz,Cardi B Slay,2,0,,,
7xWUC5JSWAEdURcPixCEx5,GK Squad,53,0,,,
7xVgcD64SOhLoXfCxN7yg8,Delia Derbyshire,19177,25,british electroacoustic,british soundtrack,hauntology
7xv3eAqAetyC5dK2O8dYYV,S3V4,413,9,,,
7xUUEXGlDTf4dJyNQeNNpH,Lil Crush,2489,4,,,
7xuGYaDGDY1SSSHFroP15c,Soul Shadow,102,2,,,
7xufeYxmjoF2XnoJfjYez4,Lil Wayne's karaoke band,40,0,,,
7xuBoYZZ8uGVOkZvvrfcfZ,Brandy Garcia,0,0,,,
7xTzjB3J15U0URzeYU90JM,Jermaine Fagan,270,21,,,
7xTKMbpOBMCucyLBzwTzIT,Miguel Islas,7263,17,latin arena pop,,
7xtH99LIfTdFERRQE7kT8z,Rohana Weerasinghe,23084,35,classic sinhala pop,sinhala pop,
